Original Attribute,Description,Sample Record,New Attribute
**ID**,"Unique identifier for the table.","[8657, 8658, 8659, 8660, 8661, 8662, 8663, 8664, 8665, 8666, ...]",``static_tests.id``
**Record ID**,"Field that references the project ID.","[269, 269, ...]","*referenced through* ``load_tests``"
**Load (TONS)**,,"[0, 6.82, 14.41, 21.43, 29.05, 35.95, 44.8, 51.23, 59.08, 66.66, ...]",``static_tests.load``
**Gauge Reading (INCHES)**,,"[0, 0.008, 0.02, 0.03, 0.05, 0.07, 0.09, 0.11, 0.14, 0.16, ...]",``static_tests.displacement``
